mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005000114440917969,0.0006328153516630559,0.006802034378051758,0.0004006445393236064,euclidean,39,"{'metric': 'euclidean', 'n_neighbors': 39}",0.10256057272686525,-0.007766482437138178,0.019781062553173245,0.05861804364947121,0.046757532990583495,0.043990145896591004,0.03719396998407551,36
0.004712581634521484,0.000747893857120123,0.006269502639770508,0.0005466793884393627,euclidean,41,"{'metric': 'euclidean', 'n_neighbors': 41}",0.11641470951572463,-0.006729660201160836,0.0041166003300416865,0.04804696616347559,0.05517406942728087,0.04340453704707239,0.04369791534995259,37
0.004800176620483399,0.0007463936408791078,0.006200361251831055,0.0009786450613058864,euclidean,43,"{'metric': 'euclidean', 'n_neighbors': 43}",0.1176334149024939,-0.011908172462540945,-0.005012004898570233,0.02724570066172627,0.048977715758370066,0.035387330792295814,0.04665699092003777,40
0.004201841354370117,0.00040217050304037144,0.006197309494018555,0.0004013487005522712,euclidean,45,"{'metric': 'euclidean', 'n_neighbors': 45}",0.1312828045314296,-0.02242136264668204,-0.012585069894750944,0.02252481721054833,0.030320551114581762,0.029824348063025342,0.05454451535427831,41
0.004198217391967773,0.0004038138936096007,0.005797624588012695,0.0007525418288399937,euclidean,47,"{'metric': 'euclidean', 'n_neighbors': 47}",0.10433220379783226,-0.024393306257745273,-0.00969020295459666,0.02331596901478572,0.028701958274822248,0.02445332437501966,0.044613346944062084,42
0.004609107971191406,0.000493993515116659,0.005990123748779297,0.0006316629384365601,euclidean,49,"{'metric': 'euclidean', 'n_neighbors': 49}",0.10009975306772212,-0.03438051538484088,-0.015601964724265782,0.017386911093547397,0.035890651930585715,0.020678967196549713,0.04668564416906109,43
0.0042002201080322266,0.000401140970422006,0.006810188293457031,0.0046408518658387085,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",-0.3673609061668539,-0.45044344874880093,-0.4629170183692308,-0.7494108776742938,-0.0712402468472415,-0.42027449956128426,0.2171101394390766,49
0.0039981365203857425,0.000633542913947525,0.005200624465942383,0.00040209348145873693,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.10811285796983372,-0.05876247514524158,-0.16547126474578744,-0.20477441006286456,0.1580766967987769,-0.03256371903705659,0.1443197700247308,47
0.003601408004760742,0.0004898636711394256,0.004802131652832031,0.0004005593796146806,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.10584243821720107,-0.07159234714927898,-0.11515209479290411,-0.15500486279484393,0.1126050837282413,-0.024660356558316932,0.11247563049556547,46
0.00299983024597168,7.893059424041199e-07,0.004600048065185547,0.000490076682194939,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.18038234421431398,0.04643454561238858,-0.09864926350935943,-0.04882864363917472,0.02398591937664718,0.020664980410963117,0.09513147535119634,44
0.003200721740722656,0.00040164066014818854,0.004800033569335937,0.0007478058750301548,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.16261553061306866,0.08220989540726842,-0.057082903452509326,0.004909779293580829,0.1244580046284236,0.06342206129796643,0.07982837480294548,24
0.003599119186401367,0.000800169272151985,0.004800081253051758,0.00040030495051187237,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.2180540275520182,0.08290557200752202,-0.03392822246234162,0.027952180299124052,0.16762232264985366,0.09252117600923526,0.09126855369112824,7
0.003799581527709961,0.0007496414062421342,0.00440068244934082,0.0004893391434979048,manhattan,13,"{'metric': 'manhattan', 'n_neighbors': 13}",0.23060877636054056,0.07413155547882988,0.019250349542680345,0.02666379515814421,0.1343168103644633,0.09699425738093166,0.07843341750052539,3
0.0033999919891357423,0.0004898628124481345,0.004599952697753906,0.0004902912748541827,manhattan,15,"{'metric': 'manhattan', 'n_neighbors': 15}",0.17023166656395516,0.07694250360264232,0.041505908737945796,0.0072245075935123415,0.12714487665438956,0.08460989263048904,0.058387589668800616,10
0.003600931167602539,0.0004888933180765196,0.004602766036987305,0.0004923289185562081,manhattan,17,"{'metric': 'manhattan', 'n_neighbors': 17}",0.167496608078038,0.1172513142436078,0.05183717153573697,0.0420518861856396,0.10776575840890723,0.09728054769038592,0.04594425270876924,2
0.003198862075805664,0.00040139068911553536,0.004401397705078125,0.0004903131124606939,manhattan,19,"{'metric': 'manhattan', 'n_neighbors': 19}",0.1346859527592189,0.11972548408851735,0.06285067429573266,0.05028008613515844,0.11650205597558272,0.09680885065084202,0.03366230222943234,4
0.004201698303222656,0.0010060429131637356,0.003907489776611328,0.00019148342346447214,manhattan,21,"{'metric': 'manhattan', 'n_neighbors': 21}",0.14067660184086317,0.11275915419693561,0.05515303629327284,0.0372453513046489,0.10167699992098123,0.08950222871134035,0.03799624812615231,8
0.0035993576049804686,0.0007999314116228422,0.003999233245849609,1.3145493270960065e-06,manhattan,23,"{'metric': 'manhattan', 'n_neighbors': 23}",0.1684112682696871,0.10804934350198914,0.040665496736363105,0.07079977765943579,0.0930035183349861,0.09618588090049225,0.042648195864593764,5
0.0035996437072753906,0.0008005504148925332,0.004200172424316406,0.00039973334340012294,manhattan,25,"{'metric': 'manhattan', 'n_neighbors': 25}",0.15709310565860501,0.10264360073531953,0.06631695212643673,0.09126441091915138,0.10692740314142724,0.10484909451618799,0.029691378867893112,1
0.0033996105194091797,0.0004905663511660454,0.0043986797332763675,0.0004886385748285981,manhattan,27,"{'metric': 'manhattan', 'n_neighbors': 27}",0.14223176255706116,0.08944348438340322,0.060632610653436614,0.07627284395579914,0.11029689789856534,0.09577551988965309,0.028370851287436234,6
0.003213644027709961,0.0003940264448068692,0.004522275924682617,0.0004489219481677799,manhattan,29,"{'metric': 'manhattan', 'n_neighbors': 29}",0.11989288515263397,0.09051820018944756,0.042420116659892315,0.08010303250202544,0.10643665832497062,0.08787417856579398,0.0264696676652364,9
0.003200864791870117,0.0007490052470654335,0.004398870468139649,0.0004911099210287295,manhattan,31,"{'metric': 'manhattan', 'n_neighbors': 31}",0.10870494728495717,0.06817596369111589,0.021381939636669234,0.0785010038949755,0.08940969693992196,0.07323471028952795,0.029195213633457215,14
0.0035759925842285155,0.000818566204418023,0.004502058029174805,0.00044731328557349754,manhattan,33,"{'metric': 'manhattan', 'n_neighbors': 33}",0.11128466247125346,0.052982332144154265,0.006956262647997868,0.07414457090920146,0.08925122437003352,0.06692381050852811,0.03552185128271047,18
0.003800106048583984,0.0007481880345869947,0.00508575439453125,0.0015030658271706038,manhattan,35,"{'metric': 'manhattan', 'n_neighbors': 35}",0.10674890672939297,0.05879207669326858,0.00940879007406592,0.06923511977076269,0.08560157106402866,0.06595729286630377,0.03258733210169446,20
0.0038350582122802734,0.0012353136410395078,0.004396820068359375,0.0008017824702665281,manhattan,37,"{'metric': 'manhattan', 'n_neighbors': 37}",0.11571319423918203,0.047997101194602654,0.009780506623690899,0.06775516018480954,0.08596514616973394,0.06544222168240381,0.035654647797851435,22
0.0033994674682617187,0.0004899017073328082,0.004601430892944336,0.000799277701813306,manhattan,39,"{'metric': 'manhattan', 'n_neighbors': 39}",0.1328202734463001,0.04770022426263487,0.030664777234199914,0.054670765303579616,0.06347253400068043,0.06586571484947898,0.035165489287257,21
0.0036246776580810547,0.0008430760096334625,0.004575395584106445,0.0004721171325433909,manhattan,41,"{'metric': 'manhattan', 'n_neighbors': 41}",0.14122303404408287,0.039483504296049965,0.027675913472724134,0.056387714814829404,0.060760178339072435,0.06510606899335177,0.03986532628152219,23
0.003200721740722656,0.0003999738506676381,0.004599332809448242,0.0004909537703604882,manhattan,43,"{'metric': 'manhattan', 'n_neighbors': 43}",0.14648350038386027,0.0360506664028345,0.029313248306279238,0.06260195298987958,0.05631252555873423,0.06615237872831756,0.0420136928987177,19
0.0036002635955810548,0.0008002044528529884,0.005199718475341797,0.0007485708799011634,manhattan,45,"{'metric': 'manhattan', 'n_neighbors': 45}",0.1245843251572113,0.03654598197063785,0.040438583667050554,0.05223953057692843,0.05671461077291673,0.06210460642894897,0.032102170810152444,25
0.0034026145935058595,0.0004873536237335769,0.004400110244750977,0.0004900963442262447,manhattan,47,"{'metric': 'manhattan', 'n_neighbors': 47}",0.12233115000695483,0.027122562750669155,0.04742846705614023,0.04964898919265903,0.06161018015648523,0.0616282698325817,0.032312911888170315,26
0.003107929229736328,0.0002835887565979612,0.004198741912841797,0.00040033367329996976,manhattan,49,"{'metric': 'manhattan', 'n_neighbors': 49}",0.11859779626962585,0.01740537168057177,0.04945684367294145,0.054049954747531825,0.055657116152147634,0.05903341650456371,0.03288998174221967,28
